n_test,n_pos,n_neg,tp,fp,fn,tn,macro_f1,precision_pos,recall_pos,mcc,balanced_accuracy,accuracy,split_id,protocol,model_id,representation_id,held_out_sources,precision_neg,recall_neg,fpr,brier,pr_auc,roc_auc
20069,7660,12409,7247,1915,413,10494,0.8808820985532695,0.7909845012006113,0.9460835509138381,0.772197828063018,0.8958800380082931,0.8840001993123723,secondary_test,secondary_test,word_logistic_regression,word,secondary,0.9621344090950765,0.845676525102748,0.15432347489725198,0.0860844609858841,0.9466259244342886,0.9659246520938751
20069,7660,12409,7131,2265,529,10144,0.8575699880579118,0.7589399744572158,0.9309399477806789,0.7286320333117221,0.8742055690229045,0.8607803079376152,secondary_test,secondary_test,character_linear_svm,character,secondary,0.9504356788157031,0.8174711902651302,0.18252880973486985,,,
20069,7660,12409,7591,12331,69,78,0.2814278898780869,0.3810360405581769,0.9909921671018277,-0.015508055263244069,0.4986389637185341,0.3821316458219144,secondary_test,secondary_test,structural_logistic_regression,structural,secondary,0.5306122448979592,0.006285760335240551,0.9937142396647595,0.5031734675349352,0.4658000637822388,0.6188735088046724
20069,7660,12409,6915,3478,745,8931,0.787430951460671,0.6653516790147215,0.9027415143603134,0.6051688710207198,0.8112305363726782,0.7895759629278988,secondary_test,secondary_test,word_xgboost,word,secondary,0.9230053741215378,0.7197195583850431,0.2802804416149569,0.14271665492594757,0.875941830974477,0.9106092825745318
20069,7660,12409,6994,1340,666,11069,0.8957465711752577,0.8392128629709623,0.9130548302872062,0.7936836237399266,0.902534345597306,0.900044845283771,secondary_test,secondary_test,word_noanon_logistic_regression,word_noanon,secondary,0.9432466979122284,0.8920138609074059,0.10798613909259408,0.07478256024724564,0.948178908484049,0.9667026606436371
20069,7660,12409,6837,1338,823,11071,0.8873055456152258,0.8363302752293578,0.8925587467362924,0.7758848604767926,0.8923668904928138,0.8923214908565449,secondary_test,secondary_test,character_noanon_linear_svm,character_noanon,secondary,0.9308054481251051,0.8921750342493352,0.10782496575066484,,,
